h e0 var0 e1 var1 
0.603 -68.9641 2.44509e-08 -68.1602 0.00208621 
0.604 -68.9844 2.49338e-08 -68.1825 0.00156667 
0.605 -69.0048 2.54176e-08 -68.207 0.00122807 
0.606 -69.0252 2.11694e-08 -68.2264 0.00192345 
0.607 -69.0457 1.47329e-08 -68.2479 0.00323424 
0.608 -69.0661 1.50494e-08 -68.2725 0.00100888 
0.609 -69.0867 1.53559e-08 -68.2966 0.00116484 
0.61 -69.1072 1.56333e-08 -68.3171 0.00119055 
0.611 -69.1279 1.59498e-08 -68.3423 0.000542339 
0.612 -69.1485 1.63018e-08 -68.3634 0.00275381 
0.613 -69.1692 1.65783e-08 -68.3835 0.00181132 
0.614 -69.1899 9.34142e-09 -68.4085 0.00168676 
0.615 -69.2107 9.55333e-09 -68.4321 0.00234531 
0.616 -69.2314 1.76442e-08 -68.4539 0.00218969 
0.617 -69.2523 9.9335e-09 -68.4772 0.00115629 
0.618 -69.2732 1.01445e-08 -68.5014 0.000919586 
0.619 -69.2941 1.03983e-08 -68.5227 0.00139242 
0.62 -69.315 1.05492e-08 -68.5444 0.00364883 
0.621 -69.336 1.07302e-08 -68.5664 0.00204017 
0.622 -69.357 1.09731e-08 -68.5933 0.000574462 
0.623 -69.3781 1.11922e-08 -68.6144 0.00182467 
0.624 -69.3992 1.14014e-08 -68.6377 0.0035246 
0.625 -69.4203 1.16215e-08 -68.6619 0.00239653 
0.626 -69.4415 1.17907e-08 -68.6804 0.00200044 
0.627 -69.4627 1.19908e-08 -68.7045 0.00174048 
0.628 -69.484 1.15933e-08 -68.7312 0.00169841 
0.629 -69.5053 1.02591e-08 -68.7549 0.00105755 
0.63 -69.5266 1.19862e-08 -68.7795 0.000410322 
0.631 -69.548 1.22154e-08 -68.7998 0.0026051 
0.632 -69.5694 1.24664e-08 -68.8215 0.00195145 
0.633 -69.5908 1.27002e-08 -68.8481 0.00105369 
0.634 -69.6123 1.29348e-08 -68.8715 0.000448269 
0.635 -69.6338 1.3214e-08 -68.8958 0.00126423 
0.636 -69.6554 1.34669e-08 -68.9175 0.00212077 
0.637 -69.677 1.20126e-08 -68.9422 0.00173551 
0.638 -69.6986 1.40044e-08 -68.9659 0.00095896 
0.639 -69.7203 1.42718e-08 -68.988 0.00293217 
0.64 -69.742 1.45728e-08 -69.0116 0.00253265 
0.641 -69.7638 1.48348e-08 -69.0354 0.0019696 
0.642 -69.7856 1.51158e-08 -69.0591 0.00218836 
0.643 -69.8074 1.54887e-08 -69.0806 0.00304225 
0.644 -69.8293 1.57361e-08 -69.1081 0.00199655 
0.645 -69.8512 1.6099e-08 -69.1305 0.00137355 
0.646 -69.8731 1.64191e-08 -69.155 0.00249175 
0.647 -69.8951 1.67138e-08 -69.1793 0.0012259 
0.648 -69.9172 1.70648e-08 -69.2011 0.00267172 
0.649 -69.9392 1.74359e-08 -69.229 0.00150251 
0.65 -69.9613 1.77733e-08 -69.2521 0.00209343 
0.651 -69.9835 1.81208e-08 -69.2771 0.00159757 
0.652 -70.0057 1.84618e-08 -69.3011 0.00151229 
0.653 -70.0279 1.88384e-08 -69.3237 0.00137668 
0.654 -70.0501 1.64891e-08 -69.3488 0.00126492 
0.655 -70.0724 1.68475e-08 -69.373 0.00129765 
0.656 -70.0948 1.72167e-08 -69.396 0.0020398 
0.657 -70.1172 1.76024e-08 -69.4222 0.0015786 
0.658 -70.1396 1.79261e-08 -69.4474 0.001492 
0.659 -70.162 1.44055e-08 -69.4705 0.0011335 
0.66 -70.1845 1.47602e-08 -69.4957 0.001407 
0.661 -70.2071 1.51058e-08 -69.5199 0.00125867 
0.662 -70.2296 1.54587e-08 -69.5427 0.00292017 
0.663 -70.2523 1.57906e-08 -69.5689 0.00131088 
0.664 -70.2749 1.62072e-08 -69.5936 0.00142834 
0.665 -70.2976 1.65401e-08 -69.618 0.00201356 
0.666 -70.3203 1.68784e-08 -69.6417 0.00163782 
0.667 -70.3431 1.7294e-08 -69.6658 0.00149309 
0.668 -70.3659 1.77261e-08 -69.6928 0.000828231 
0.669 -70.3888 1.51431e-08 -69.718 0.00215513 
0.67 -70.4117 1.85491e-08 -69.7423 0.00114456 
0.671 -70.4346 1.59298e-08 -69.7672 0.00215478 
0.672 -70.4576 1.63291e-08 -69.7924 0.00182653 
0.673 -70.4806 1.67047e-08 -69.8165 0.00160894 
0.674 -70.5036 1.7124e-08 -69.8418 0.00219756 
0.675 -70.5267 1.75396e-08 -69.867 0.00163541 
0.676 -70.5499 1.80007e-08 -69.8933 0.001356 
0.677 -70.573 1.84391e-08 -69.9174 0.00160422 
0.678 -70.5962 1.89038e-08 -69.9432 0.00172826 
0.679 -70.6195 1.93504e-08 -69.9676 0.0024509 
0.68 -70.6428 1.98306e-08 -69.9928 0.00160291 
0.681 -70.6661 2.03354e-08 -70.0181 0.00190282 
0.682 -70.6895 2.08802e-08 -70.0427 0.00235351 
0.683 -70.7129 2.13931e-08 -70.0694 0.00167153 
0.684 -70.7363 2.19279e-08 -70.0932 0.00138346 
0.685 -70.7598 2.25027e-08 -70.1197 0.00181816 
0.686 -70.7834 2.30448e-08 -70.1455 0.00151323 
0.687 -70.8069 2.36096e-08 -70.1718 0.00151579 
0.688 -70.8305 2.42699e-08 -70.1966 0.00272084 
